Symbol,Name,"% Holding",Shares
COO,"Cooper Companies Inc.",0.05%,499008
TDY,"Teledyne Technologies Inc",0.05%,471452
STX,"Seagate Technology PLC",0.05%,2039075
LVS,"Las Vegas Sands Corp",0.05%,3334582
EXR,"EXTRA SPACE ST",0.05%,1321385
NDAQ,"NASDAQ INC",0.05%,1170796
ESS,"ESSEX PROP TR",0.05%,659881
CE,"Canada Energy Partners Inc",0.05%,1159054
GPC,"GENUINE PARTS",0.05%,1466020
UAL,"United Continental Holdings Inc",0.05%,3233325
KMX,"Carmax Inc",0.05%,1650130
TFX,"Teleflex Inc",0.05%,474109
AKAM,"Akamai Technologies",0.05%,1656876
AMCR,"Amcor PLC",0.05%,15857846
CAG,"Conagra Brands Inc.",0.05%,4960433
IR,"INGER RAND",0.05%,3783773
ULTA,"Ulta Beauty Inc",0.05%,571970
DRI,"DARDEN REST",0.05%,1323141
BR,"BROADRIDGE FINANCIAL SOLUTIO",0.05%,1175616
ANET,"Arista Networks Inc.",0.05%,556456
J,"Jacobs Engineering Group Inc",0.05%,1320310
VTRS,"Viatris Inc",0.05%,12254908
AVY,"Avery Dennison Corporation",0.05%,842849
MAA,"Mid-America Apartment Communities Inc",0.05%,1161305
CINF,"Cincinnati Financial Corp",0.05%,1522064
MGM,"MGM RESORTS IN",0.05%,4169872
ENPH,"ENPHASE ENERGY INC",0.05%,1282175
CMS,"CMS Energy Corporation",0.05%,2927911
OMC,"OMNICOM GP INC",0.05%,2183114
PEAK,"HCP Inc",0.05%,5468906
BKR,"Baker Hughes a GE Co. Class A",0.05%,7400717
DGX,"QUEST DIAG",0.05%,1354913
NTAP,"net SE",0.05%,2259909
MKTX,"MarketAxess Holdings Inc",0.05%,385756
CTLT,"Catalent Inc",0.05%,1682446
POOL,"Pool Corp",0.05%,408408
DRE,"DUKE REALTY",0.05%,3793589
EMN,"EASTMAN CHEM",0.05%,1379096
ABC,"AmerisourceBergen Corporation",0.05%,1496369
AES,"Aes Corp",0.05%,6781144
IEX,"IDEX Corp",0.05%,770217
NVR,"NVR Inc",0.05%,35132
K,"Kellogg Company",0.05%,2584052
TYL,"Tyler Technologies Inc",0.05%,412032
PFG,"Pioneer Foods Group Ltd.",0.05%,2573957
BXP,"Boston Properties Inc",0.05%,1439442
CRL,"Charles River Laboratories International Inc",0.05%,505381
CAH,"Cardinal Health Inc",0.05%,2981465
DPZ,"Dominos Pizza Inc",0.05%,393926
HOLX,"Hologic Inc",0.05%,2615392
STE,"STERIS Corp",0.05%,866562
PAYC,"Paycom Software Inc",0.05%,498275
PKI,"PerkinElmer Inc",0.05%,1137667
LB,"L Brands Inc",0.05%,2372309
RJF,"Raymond James Financial Inc",0.05%,1246027
NLOK,"NortonLifeLock Inc",0.05%,5907801
HBAN,"Huntington Bancshares",0.05%,10327674
DVN,"DEVON ENERG",0.04%,6011994
TXT,"Textron Inc",0.04%,2303879
MAS,"Masco Corp",0.04%,2610645
INCY,"INCYTE CORP",0.04%,1896671
PHM,"PulteGroup Inc",0.04%,2699992
WRK,"Westrock Co",0.04%,2674633
WHR,"Whirlpool Corp",0.04%,637131
FMC,"Fmc Corp",0.04%,1313248
AAL,"American Airlines Group Inc.",0.04%,6244170
WAB,"Wabtec Corp/DE",0.04%,1802750
BF.B,"BROWN FORMAN CORP CL B",0.04%,1854449
XRAY,"DENTSPLY International Inc",0.04%,2223555
FBHS,"FORTUNE BRANDS",0.04%,1407754
MPWR,"Monolithic Power Systems Inc",0.04%,430975
SJM,"J.M. Smucker Company",0.04%,1113154
JBHT,"J B Hunt Transport Services Inc",0.04%,847787
FANG,"DIAMOND BAK EN",0.04%,1835618
LKQ,"LKQ Corp",0.04%,2833039
LNT,"ALLIANT ENERGY",0.04%,2536911
PKG,"Packaging Corp of America",0.04%,962760
LUMN,"Lumen Technologies Inc.",0.04%,10022098
PTC,"PTC Inc",0.04%,1067034
CTXS,"Citrix Systems Inc",0.04%,1248434
WYNN,"WYNN RESORTS",0.04%,1068118
UDR,"UDR Inc",0.04%,3010615
EVRG,"EVERGY INC",0.04%,2304046
HWM,"Howmet Aerospace Inc",0.04%,3962033
CNP,"CenterPoint Energy Inc",0.04%,5570265
SNA,"SNAP-ON INC",0.04%,550248
LDOS,"Leidos Holdings Inc",0.04%,1354279
HRL,"Hormel Foods Corp",0.04%,2851573
PWR,"Quanta Services Inc",0.04%,1404743
L,"Loblaw Companies Ltd",0.04%,2303791
IPG,"INTERPBLIC GRP",0.04%,3965671
CHRW,"C.H. Robinson Worldwide Inc",0.04%,1358521
LYV,"Live Nation Ent Inc",0.04%,1456628
ABMD,"ABIOMED Inc",0.04%,459175
BIO,"Bio Rad Laboratories Inc",0.04%,218634
ALLE,"Allegion PLC",0.04%,921149
FOXA,"Fox Corp",0.04%,3394418
LNC,"Lincoln National Corp",0.04%,1831951
MHK,"Mohawk Industries Inc",0.04%,598873
TPR,"TAPESTRY INC O",0.04%,2820353
ATO,"Atmos Energy Corporation",0.04%,1278375
MOS,"Mosaic Co",0.03%,3502336
IRM,"IRON MOUNTAIN",0.03%,2927630
PENN,"Penn National Gaming Inc",0.03%,1510011
UHS,"Universal Health Services Inc",0.03%,790078
AAP,"ADV AUTO PARTS",0.03%,664979
BWA,"BorgWarner Inc",0.03%,2425900
HAS,"Hasbro Inc",0.03%,1296733
HST,"Host Hotels & Resorts",0.03%,7161108
JKHY,"Jack Henry & Associates Inc",0.03%,772360
CBOE,"Cboe Global Markets Inc",0.03%,1088463
NCLH,"Norwegian Cruise Line",0.03%,3687476
LW,"Lamb Weston Holdings",0.03%,1485821
FFIV,"F5 NETWORKS",0.03%,625859
PNR,"Pentair Ltd",0.03%,1685913
CF,"CF INDUSTRIES",0.03%,2172293
DISH,"DISH NETWORK A",0.03%,2511492
CMA,"Comerica Incorporated",0.03%,1412592
HSIC,"Henry Schein Inc",0.03%,1446302
WRB,"W. R. Berkley Corp",0.03%,1422519
NWL,"Newell Brands Inc",0.03%,3836041
TAP,"MOLSN COORS BR",0.03%,1910745
IVZ,"Invesco Ltd",0.03%,3821295
NWSA,"News Corp",0.03%,3970539
RE,"EVEREST RE GP",0.03%,405826
REG,"Regency Centers Corp",0.03%,1603049
WU,"WESTERN UNION",0.03%,4171841
RHI,"Robert Half International Inc",0.03%,1148519
GL,"Globe Life Inc",0.03%,964634
NI,"NiSource Inc",0.03%,3920870
NLSN,"NIELSEN HOLDIN",0.03%,3631631
DXC,"DXC TECHNLGY C",0.03%,2584234
CPB,"Campbell Soup Co",0.03%,2060155
AOS,"A O SMITH",0.03%,1374636
MRO,"MARATHON OIL",0.03%,8014389
ZION,"ZIONS BANCORP",0.03%,1666695
PNW,"PINNACL WEST C",0.03%,1144035
AIZ,"Assurant Inc.",0.03%,587856
BEN,"FRANKLIN RES INC",0.03%,2769943
KIM,"Kimco Realty Corporation",0.03%,4389722
DISCK,"Discovery Communications Inc.",0.02%,2940960
SEE,"Sealed Air Corp",0.02%,1572801
ALK,"ALASKA AIR GRO",0.02%,1260827
JNPR,"Juniper Networks Inc",0.02%,3331729
DVA,"DAVITA HEALTHCARE PARTNE 5.75 08/15/2022",0.02%,733141
HII,"Huntington Ingalls Ind",0.02%,408634
PVH,"PVH Corp",0.02%,721664
PBCT,"Peoples United Financial Inc",0.02%,4319014
NRG,"NRG ENERGY",0.02%,2483546
APA,"APA Corp.",0.02%,3835740
FRT,"FED REALTY INVS",0.02%,705002
ROL,"Rollins Inc",0.02%,2247773
IPGP,"IPG Photonics Co",0.02%,364871
LEG,"Leggett & Platt Inc",0.02%,1349839
VNO,"Vornado Realty Trust",0.02%,1592912
GPS,"GAP INC",0.02%,2087970
HBI,"Hanesbrands Inc",0.02%,3540332
COG,"Cabot Oil & Gas Corp",0.02%,4054032
UNM,"Unum Group",0.02%,2067787
NOV,"National Oilwell Varco Inc",0.02%,3940298
PRGO,"Perrigo Co",0.02%,1351279
RL,"Ralph Lauren Corp",0.02%,489682
FOX,"Fox Corp",0.02%,1560623
,"U.S. Dollar",0.02%,56492756
DISCA,"DISCOVERY COMM",0.01%,1640382
HFC,"HollyFrontier Corp",0.01%,1516552
UAA,"UNDER ARMOUR A",0.01%,1918949
UA,"UNDER ARMOUR C",0.01%,1991350
NWS,"News Corp",0.01%,1245994
SPY,"SPDR S&P 500 ETF Trust",0.00%,0
"Downloaded from Barchart.com as of 06-01-2021 11:24am CDT"
